BAIRROS,LATITUDE,LONGITUDE
Alice Maia,-16.7022149,-43.8535891
Alto Da Boa Vista,-16.751136,-43.8396059
Alto Sao Joao,-16.715355,-43.85418629999999
Amazonas,-16.6976915,-43.8619488
Augusta Mota,-16.7209511,-43.8045961
Barcelona Park,-16.7112186,-43.8742274
Belvedere,-16.7296843,-43.8340006
Candida Camara,-16.7351008,-43.8756795
Canelas,-16.7505521,-43.8716363
Canelas I,-16.7444756,-43.8669737
Canelas II,-16.7449916,-43.8667252
Centro,-16.7286406,-43.8582139
Cidade Nova,-16.7403658,-43.8667252
Cidade Santa Maria,-16.7311087,-43.8732919
Cintra,-16.7328111,-43.8494087
Conjunto Residencial Jk,-16.6947545,-43.8446306
Edgar Pereira,-16.7006324,-43.8661281
Funcionarios,-16.7422485,-43.875978
Ibituruna,-16.733821,-43.8935833
Jaragua I,-16.6960201,-43.8267088
Jardim Liberdade,-16.7541687,-43.8932215
Jardim Palmeiras,-16.7363899,-43.8446306
Jardim Panorama,-16.7123926,-43.8828418
Jardim Primavera,-16.6951805,-43.8123666
Jardim Sao Geraldo,-16.7534993,-43.8738888
Jardim Sao Luiz,-16.7292101,-43.88045450000001
Joao Alves,-16.7188399,-43.8228637
Joao Gordo,-16.7137623,-43.86358509999999
Lourdes,-16.7259754,-43.8512003
Major Prates,-16.7500223,-43.88045450000001
Maracana,-16.7613971,-43.86374
Melo,-16.7235387,-43.8756795
Monte Alegre,-16.7288172,-43.8470197
Morada Da Serra,-16.7597867,-43.8894064
Morada Do Parque,-16.7556928,-43.885229
Morada Do Sol,-16.7439933,-43.8779979
Morrinhos,-16.7358496,-43.8619488
Panorama,-16.7123926,-43.8828418
Panorama II,-16.7157293,-43.88740749999999
Planalto,-16.6966487,-43.8374627
Prolongamento Todos Os Santos,-16.7125058,-43.87150099999999
Roxo Verde,-16.726287,-43.8565749
Sagrada Familia,-16.7403592,-43.8732919
Santa Laura,-16.7129817,-43.8360868
Santa Rita,-16.7309129,-43.8565749
Sao Geraldo,-16.7534993,-43.8738888
Sao Jose,-16.7210288,-43.8589634
Sao Judas Tadeu,-16.7487847,-43.8589634
Sao Mateus,-16.7070515,-43.8597832
Todos Os Santos,-16.7195466,-43.8732919
Vila Atlantida,-16.7014652,-43.88045450000001
Vila Brasilia,-16.7121941,-43.8661281
Vila Guilhermina,-16.737,-43.86851619999999
Vila Ipiranga,-16.7218777,-43.8470197
Vila Mauriceia,-16.7182789,-43.8813498
Vila Regina,-16.7085209,-43.8559777
